Date,StartTime,EndTime,TotalNapTime
02/04/2019,9:43,10:40,0:57
02/04/2019,2:00,2:41,0:41
02/05/2019,10:02,11:30,1:28
02/05/2019,1:52,2:17,0:25
02/11/2019,12:30,12:54,0:24
02/13/2019,10:11,10:58,0:47
02/13/2019,3:19,4:09,0:50
02/14/2019,2:32,2:53,0:21
02/15/2019,10:14,10:48,0:34
02/15/2019,1:10,1:45,0:35
02/20/2019,12:30,12:44,0:14
02/20/2019,12:30,12:44,0:14
02/22/2019,12:37,1:28,0:51
02/25/2019,9:53,10:23,0:30
02/25/2019,1:42,2:07,0:25
02/26/2019,9:53,10:23,0:30
02/26/2019,1:42,2:07,0:25
02/27/2019,12:35,12:57,0:22
02/27/2019,3:30,4:03,0:33
02/28/2019,12:04,12:33,0:29
03/02/2019,12:58,1:40,0:42
03/04/2019,12:58,1:40,0:42
03/04/2019,12:28,12:35,0:7
03/05/2019,12:23,12:46,0:23
03/11/2019,12:23,12:46,0:23
03/11/2019,3:04,3:42,0:38
03/11/2019,12:22,12:50,0:28
03/11/2019,12:12,12:51,0:39
03/13/2019,11:38,1:31,1:53
03/13/2019,12:28,12:46,0:18
03/14/2019,9:20,10:15,0:55
03/14/2019,4:31,5:37,1:6
03/15/2019,4:11,5:01,0:50
03/18/2019,12:40,2:14,1:34
03/19/2019,12:31,1:00,0:29
03/19/2019,3:24,3:38,0:14
03/20/2019,11:24,12:11,0:47
03/26/2019,12:56,1:30,0:34
03/26/2019,12:56,1:30,0:34
03/27/2019,12:30,1:26,0:56
03/27/2019,12:44,1:08,0:24
03/28/2019,2:21,2:32,0:11
03/29/2019,2:21,2:32,0:11
03/29/2019,2:21,2:32,0:11
04/08/2019,12:43,1:04,0:21
04/09/2019,11:47,12:08,0:21
04/10/2019,12:33,1:17,0:44
04/11/2019,12:51,1:21,0:30
04/12/2019,12:45,1:40,0:55
04/15/2019,12:09,12:35,0:26
04/15/2019,3:38,4:45,1:7
04/16/2019,12:36,1:21,0:45
04/17/2019,12:10,12:50,0:40
04/18/2019,12:10,12:50,0:40
04/18/2019,11:44,12:08,0:24
04/22/2019,12:32,12:53,0:21
04/23/2019,12:30,1:40,1:10
04/25/2019,12:56,1:23,0:27
04/26/2019,12:08,12:54,0:46
04/29/2019,12:25,1:02,0:37
04/30/2019,11:59,12:57,0:58
05/01/2019,12:30,1:40,1:10
05/02/2019,12:21,12:48,0:27
05/07/2019,12:02,12:29,0:27
05/15/2019,12:30,1:25,0:55
05/16/2019,12:10,12:34,0:24
05/17/2019,12:15,12:48,0:33
05/20/2019,12:40,1:10,0:30
05/21/2019,11:50,12:27,0:37
05/22/2019,12:23,1:03,0:40
05/23/2019,12:11,12:44,0:33
05/24/2019,12:15,12:44,0:29
05/24/2019,12:15,12:44,0:29
05/28/2019,12:23,1:20,0:57
05/29/2019,12:46,1:05,0:19
06/03/2019,11:38,12:11,0:33
06/04/2019,11:23,11:47,0:24
06/05/2019,12:39,1:15,0:36
06/06/2019,12:16,12:59,0:43
06/10/2019,11:59,12:45,0:46
06/17/2019,12:09,1:07,0:58
06/18/2019,11:49,12:58,1:9
06/19/2019,12:23,1:11,0:48
06/20/2019,12:23,1:11,0:48
06/21/2019,12:18,2:09,1:51
06/24/2019,12:08,1:27,1:19
06/25/2019,12:32,1:54,1:22
06/26/2019,12:53,2:36,1:43
06/27/2019,1:05,2:01,0:56
06/27/2019,3:39,4:02,0:23
06/28/2019,12:18,1:01,0:43
07/02/2019,11:22,12:09,0:47
07/03/2019,12:04,1:31,1:27
07/08/2019,11:47,12:37,0:50
07/09/2019,12:16,1:36,1:20
07/10/2019,12:06,1:25,1:19
07/10/2019,12:06,1:25,1:19
07/11/2019,12:10,1:33,1:23
07/12/2019,12:17,1:48,1:31
07/15/2019,11:58,1:44,1:46
07/16/2019,12:09,1:44,1:35
07/18/2019,11:53,1:43,1:50
07/19/2019,11:56,1:10,1:14
07/22/2019,11:56,1:10,1:14
07/25/2019,12:06,1:40,1:34
07/29/2019,12:21,2:13,1:52
08/01/2019,12:15,2:08,1:53
08/02/2019,12:01,2:00,1:59
08/07/2019,12:08,2:01,1:53
08/07/2019,12:08,2:01,1:53
08/13/2019,12:18,1:45,1:27
08/14/2019,12:24,1:47,1:23
08/19/2019,12:14,1:38,1:24
08/20/2019,12:18,2:13,1:55
08/21/2019,12:20,1:43,1:23
08/23/2019,12:59,2:48,1:49
09/04/2019,12:21,2:17,1:56
09/04/2019,12:21,2:17,1:56
09/06/2019,12:19,1:41,1:22
09/06/2019,12:19,1:41,1:22
09/09/2019,12:16,2:09,1:53
09/09/2019,12:16,2:09,1:53
09/10/2019,12:16,2:09,1:53
09/10/2019,12:08,1:32,1:24
09/11/2019,12:02,1:23,1:21
09/11/2019,12:02,1:23,1:21
09/12/2019,12:09,1:24,1:15
09/13/2019,12:03,1:22,1:19
09/17/2019,12:10,1:09,0:59
09/18/2019,12:09,2:07,1:58
09/19/2019,12:11,1:40,1:29
09/23/2019,12:21,2:00,1:39
09/25/2019,12:31,1:32,1:1
09/26/2019,12:31,1:32,1:1
10/04/2019,12:12,2:00,1:48
10/04/2019,12:12,2:00,1:48
10/04/2019,12:12,2:00,1:48
10/07/2019,12:27,2:09,1:42
10/08/2019,12:29,2:10,1:41
10/09/2019,12:45,2:19,1:34
10/10/2019,12:17,2:02,1:45
10/16/2019,12:42,2:01,1:19
10/17/2019,12:30,2:03,1:33
10/23/2019,12:10,1:52,1:42
10/24/2019,12:09,1:59,1:50
10/25/2019,12:09,1:59,1:50
10/25/2019,12:10,2:02,1:52
10/28/2019,12:45,2:33,1:48
10/28/2019,12:45,2:33,1:48
10/29/2019,12:10,1:55,1:45
10/29/2019,12:10,1:55,1:45
10/31/2019,12:05,1:39,1:34
10/31/2019,12:05,1:39,1:34
11/05/2019,12:09,1:53,1:44
11/06/2019,12:09,1:53,1:44
11/06/2019,12:06,1:46,1:40
11/07/2019,12:21,1:56,1:35
11/07/2019,12:21,1:56,1:35
11/08/2019,12:30,2:15,1:45
11/14/2019,12:14,2:11,1:57
11/14/2019,12:28,2:19,1:51
11/21/2019,12:09,1:41,1:32
11/21/2019,12:09,1:41,1:32
11/27/2019,12:06,1:45,1:39
12/02/2019,12:26,1:47,1:21
12/02/2019,12:26,1:47,1:21
12/03/2019,12:22,2:18,1:56
12/04/2019,12:36,2:17,1:41
12/06/2019,12:12,1:49,1:37
12/09/2019,12:15,1:59,1:44
12/10/2019,12:17,2:09,1:52
12/11/2019,12:23,1:34,1:11
12/12/2019,12:23,1:34,1:11
12/12/2019,12:31,2:10,1:39
12/13/2019,12:09,2:04,1:55
